ratio_fp_to_fn,c_fp,c_fn,false_block_rate_on_legit,fraud_caught_rate,fraud_hard_blocked_rate,pct_hard_block
0.03162277660168379,3.794733192202055,120.0,0.0022768124625524265,0.9901079136690647,0.9739208633093526,0.09266666666666666
0.039810717055349734,4.777286046641968,120.0,0.0022768124625524265,0.9901079136690647,0.9730215827338129,0.09258333333333334
0.05011872336272722,6.014246803527266,120.0,0.0019173157579388856,0.9901079136690647,0.9730215827338129,0.09233333333333334
0.06309573444801933,7.57148813376232,120.0,0.0016776512881965249,0.9901079136690647,0.9730215827338129,0.09216666666666666
0.07943282347242814,9.531938816691376,120.0,0.0016776512881965249,0.9901079136690647,0.9730215827338129,0.09216666666666666
0.1,12.0,120.0,0.001437986818454164,0.9901079136690647,0.9730215827338129,0.092
0.12589254117941676,15.107104941530011,120.0,0.0013181545835829838,0.9901079136690647,0.9730215827338129,0.09183333333333334
0.15848931924611137,19.018718309533366,120.0,0.0011983223487118035,0.9901079136690647,0.9730215827338129,0.09175
0.19952623149688797,23.943147779626557,120.0,0.0011983223487118035,0.9901079136690647,0.9730215827338129,0.09175
0.251188643150958,30.14263717811496,120.0,0.0011983223487118035,0.9901079136690647,0.9730215827338129,0.09175
0.31622776601683794,37.94733192202055,120.0,0.0011983223487118035,0.9901079136690647,0.9730215827338129,0.09175
0.3981071705534973,47.77286046641968,120.0,0.0010784901138406232,0.9901079136690647,0.9730215827338129,0.09166666666666666
0.5011872336272725,60.1424680352727,120.0,0.0008388256440982624,0.9901079136690647,0.9730215827338129,0.0915
0.6309573444801934,75.7148813376232,120.0,0.000718993409227082,0.9901079136690647,0.9721223021582733,0.09133333333333334
0.7943282347242817,95.31938816691381,120.0,0.000718993409227082,0.9901079136690647,0.9721223021582733,0.09133333333333334
1.0,120.0,120.0,0.0004793289394847214,0.9901079136690647,0.9721223021582733,0.09116666666666666
1.2589254117941675,151.0710494153001,120.0,0.000359496704613541,0.9901079136690647,0.9721223021582733,0.09108333333333334
1.584893192461114,190.1871830953337,120.0,0.000359496704613541,0.9901079136690647,0.9721223021582733,0.09108333333333334
1.9952623149688797,239.43147779626557,120.0,0.0002396644697423607,0.9901079136690647,0.9721223021582733,0.091
2.511886431509581,301.4263717811497,120.0,0.0002396644697423607,0.9901079136690647,0.9721223021582733,0.09091666666666667
3.1622776601683795,379.47331922020555,120.0,0.0002396644697423607,0.9901079136690647,0.9703237410071942,0.09075
3.981071705534973,477.7286046641968,120.0,0.0002396644697423607,0.9901079136690647,0.9703237410071942,0.09075
5.011872336272725,601.4246803527269,120.0,0.00011983223487118035,0.9901079136690647,0.9703237410071942,0.09058333333333334
6.309573444801936,757.1488133762323,120.0,0.0,0.9901079136690647,0.9685251798561151,0.09033333333333333
7.943282347242821,953.1938816691386,120.0,0.0,0.9901079136690647,0.9685251798561151,0.09033333333333333
10.0,1200.0,120.0,0.0,0.9901079136690647,0.9676258992805755,0.09025
12.589254117941675,1510.710494153001,120.0,0.0,0.9901079136690647,0.9676258992805755,0.09025
15.848931924611142,1901.871830953337,120.0,0.0,0.9901079136690647,0.9676258992805755,0.09025
19.952623149688808,2394.314777962657,120.0,0.0,0.9901079136690647,0.9676258992805755,0.09025
25.11886431509582,3014.2637178114983,120.0,0.0,0.9901079136690647,0.9676258992805755,0.09025
31.622776601683793,3794.7331922020553,120.0,0.0,0.9901079136690647,0.9676258992805755,0.09025
