friction_cost,missed_recovery_cost,ratio_friction_to_recovery,legit_frictioned_rate,abuser_caught_rate,pct_approve
0.5,20.0,0.025,0.24793289394847215,0.9956744003145891,0.5243333333333333
0.6177437170129715,20.0,0.030887185850648573,0.23822648292390652,0.9956744003145891,0.5310833333333334
0.7632145998180043,20.0,0.03816072999090021,0.22816057519472738,0.9948879276445144,0.53825
0.942942047540283,20.0,0.04714710237701415,0.21617735170760935,0.994494691309477,0.5466666666666666
1.164993050750713,20.0,0.05824965253753565,0.20395446375074894,0.9925285096342902,0.5556666666666666
1.4393342749300535,20.0,0.07196671374650268,0.1920910724985021,0.9897758552890287,0.5645
1.7782794100389225,20.0,0.08891397050194613,0.17843019772318755,0.9878096736138419,0.5745
2.197041865290156,20.0,0.1098520932645078,0.16572798082684242,0.9842705465985057,0.5841666666666666
2.7144176165949063,20.0,0.13572088082974532,0.15266626722588375,0.982304364923319,0.5936666666666667
3.353628856001657,20.0,0.16768144280008285,0.13996405032953865,0.9803381832481322,0.603
4.143366309976845,20.0,0.20716831549884226,0.12941881366087477,0.976799056232796,0.6111666666666666
5.1190770105428305,20.0,0.25595385052714154,0.11839424805272618,0.9732599292174597,0.6195833333333334
6.324555320336756,20.0,0.31622776601683783,0.10772917914919113,0.9697208022021234,0.6278333333333334
7.8139086240779845,20.0,0.3906954312038992,0.0975434391851408,0.9653952025167125,0.6358333333333334
9.653985915675296,20.0,0.4826992957837648,0.08915518274415818,0.9551710578057413,0.644
11.927378287080264,20.0,0.5963689143540132,0.08076692630317556,0.9488792764451436,0.6511666666666667
14.736125994561542,20.0,0.7368062997280771,0.07165967645296585,0.9418010224144711,0.659
18.206298492503837,20.0,0.9103149246251918,0.06446974236069503,0.9355092410538733,0.6653333333333333
22.493653007613958,20.0,1.124682650380698,0.058837627321749554,0.9288242233582383,0.6706666666666666
27.790625636246904,20.0,1.3895312818123453,0.05200718993409227,0.9217459693275659,0.6769166666666667
34.33496875730227,20.0,1.7167484378651134,0.04649490713001798,0.913094769956744,0.6825833333333333
42.420422447320306,20.0,2.1210211223660154,0.04050329538645896,0.8997247345654739,0.6895833333333333
52.40989887973625,20.0,2.620494943986812,0.036908328340323544,0.8875344081793157,0.6946666666666667
64.75177148448448,20.0,3.237588574224224,0.0329538645895746,0.874557609123083,0.7001666666666667
79.99999999999999,20.0,3.999999999999999,0.027801078490113842,0.854895792371215,0.7079166666666666
