friction_cost,missed_recovery_cost,ratio_friction_to_recovery,legit_frictioned_rate,abuser_caught_rate,pct_approve
0.5,20.0,0.025,0.0,1.0,0.6954166666666667
0.6177437170129715,20.0,0.030887185850648573,0.0,1.0,0.6954166666666667
0.7632145998180043,20.0,0.03816072999090021,0.0,1.0,0.6954166666666667
0.942942047540283,20.0,0.04714710237701415,0.0,1.0,0.6954166666666667
1.164993050750713,20.0,0.05824965253753565,0.0,1.0,0.6954166666666667
1.4393342749300535,20.0,0.07196671374650268,0.0,1.0,0.6954166666666667
1.7782794100389225,20.0,0.08891397050194613,0.0,1.0,0.6954166666666667
2.197041865290156,20.0,0.1098520932645078,0.0,1.0,0.6954166666666667
2.7144176165949063,20.0,0.13572088082974532,0.0,1.0,0.6954166666666667
3.353628856001657,20.0,0.16768144280008285,0.0,1.0,0.6954166666666667
4.143366309976845,20.0,0.20716831549884226,0.0,1.0,0.6954166666666667
5.1190770105428305,20.0,0.25595385052714154,0.0,1.0,0.6954166666666667
6.324555320336756,20.0,0.31622776601683783,0.0,1.0,0.6954166666666667
7.8139086240779845,20.0,0.3906954312038992,0.0,1.0,0.6954166666666667
9.653985915675296,20.0,0.4826992957837648,0.0,1.0,0.6954166666666667
11.927378287080264,20.0,0.5963689143540132,0.0,1.0,0.6954166666666667
14.736125994561542,20.0,0.7368062997280771,0.0,1.0,0.6954166666666667
18.206298492503837,20.0,0.9103149246251918,0.0,1.0,0.6954166666666667
22.493653007613958,20.0,1.124682650380698,0.0,1.0,0.6954166666666667
27.790625636246904,20.0,1.3895312818123453,0.0,1.0,0.6954166666666667
34.33496875730227,20.0,1.7167484378651134,0.0,1.0,0.6954166666666667
42.420422447320306,20.0,2.1210211223660154,0.0,1.0,0.6954166666666667
52.40989887973625,20.0,2.620494943986812,0.0,1.0,0.6954166666666667
64.75177148448448,20.0,3.237588574224224,0.0,1.0,0.6954166666666667
79.99999999999999,20.0,3.999999999999999,0.0,1.0,0.6954166666666667
