ratio_fp_to_fn,c_fp,c_fn,false_block_rate_on_legit,fraud_caught_rate,fraud_hard_blocked_rate,pct_hard_block
0.03162277660168379,3.794733192202055,120.0,0.0,1.0,1.0,0.09283333333333334
0.039810717055349734,4.777286046641968,120.0,0.0,1.0,1.0,0.09283333333333334
0.05011872336272722,6.014246803527266,120.0,0.0,1.0,1.0,0.09283333333333334
0.06309573444801933,7.57148813376232,120.0,0.0,1.0,1.0,0.09283333333333334
0.07943282347242814,9.531938816691376,120.0,0.0,1.0,1.0,0.09283333333333334
0.1,12.0,120.0,0.0,1.0,1.0,0.09283333333333334
0.12589254117941676,15.107104941530011,120.0,0.0,1.0,1.0,0.09283333333333334
0.15848931924611137,19.018718309533366,120.0,0.0,1.0,1.0,0.09283333333333334
0.19952623149688797,23.943147779626557,120.0,0.0,1.0,1.0,0.09283333333333334
0.251188643150958,30.14263717811496,120.0,0.0,1.0,1.0,0.09283333333333334
0.31622776601683794,37.94733192202055,120.0,0.0,1.0,1.0,0.09283333333333334
0.3981071705534973,47.77286046641968,120.0,0.0,1.0,1.0,0.09283333333333334
0.5011872336272725,60.1424680352727,120.0,0.0,1.0,1.0,0.09283333333333334
0.6309573444801934,75.7148813376232,120.0,0.0,1.0,1.0,0.09283333333333334
0.7943282347242817,95.31938816691381,120.0,0.0,1.0,1.0,0.09283333333333334
1.0,120.0,120.0,0.0,1.0,1.0,0.09283333333333334
1.2589254117941675,151.0710494153001,120.0,0.0,1.0,1.0,0.09283333333333334
1.584893192461114,190.1871830953337,120.0,0.0,1.0,1.0,0.09283333333333334
1.9952623149688797,239.43147779626557,120.0,0.0,1.0,1.0,0.09283333333333334
2.511886431509581,301.4263717811497,120.0,0.0,1.0,1.0,0.09283333333333334
3.1622776601683795,379.47331922020555,120.0,0.0,1.0,1.0,0.09283333333333334
3.981071705534973,477.7286046641968,120.0,0.0,1.0,1.0,0.09283333333333334
5.011872336272725,601.4246803527269,120.0,0.0,1.0,1.0,0.09283333333333334
6.309573444801936,757.1488133762323,120.0,0.0,1.0,1.0,0.09283333333333334
7.943282347242821,953.1938816691386,120.0,0.0,1.0,1.0,0.09283333333333334
10.0,1200.0,120.0,0.0,1.0,1.0,0.09283333333333334
12.589254117941675,1510.710494153001,120.0,0.0,1.0,1.0,0.09283333333333334
15.848931924611142,1901.871830953337,120.0,0.0,1.0,1.0,0.09283333333333334
19.952623149688808,2394.314777962657,120.0,0.0,1.0,1.0,0.09283333333333334
25.11886431509582,3014.2637178114983,120.0,0.0,1.0,1.0,0.09283333333333334
31.622776601683793,3794.7331922020553,120.0,0.0,1.0,1.0,0.09283333333333334
